0,-1
2/807,-1
-34/269,-797/807
-12/269,-797/807
-34/807,-797/807
-12/269,-265/269
-34/807,-265/269
-28/269,-249/269
-88/807,-241/269
-30/269,-721/807
-88/807,-721/807
-92/807,-719/807
-30/269,-719/807
-88/807,-719/807
-86/807,-719/807
-28/269,-719/807
-92/807,-239/269
-28/269,-239/269
-92/807,-715/807
-86/807,-715/807
-28/269,-715/807
-32/269,-713/807
-94/807,-713/807
-92/807,-713/807
-86/807,-713/807
-100/807,-237/269
-98/807,-237/269
-32/269,-237/269
-86/807,-237/269
-28/269,-237/269
-82/807,-237/269
-26/269,-237/269
-36/269,-709/807
-106/807,-709/807
-34/269,-709/807
-100/807,-709/807
-82/807,-709/807
-80/807,-709/807
-26/269,-709/807
-36/269,-707/807
-106/807,-707/807
-104/807,-707/807
-34/269,-707/807
-26/269,-707/807
-76/807,-707/807
-106/807,-235/269
-76/807,-235/269
-74/807,-235/269
-24/269,-235/269
-70/807,-235/269
-106/807,-703/807
-74/807,-703/807
-24/269,-703/807
-36/269,-701/807
-106/807,-701/807
-74/807,-701/807
-70/807,-701/807
-110/807,-233/269
-36/269,-233/269
-74/807,-233/269
-24/269,-233/269
-110/807,-697/807
-36/269,-697/807
-74/807,-697/807
-36/269,-695/807
-74/807,-695/807
-24/269,-695/807
-110/807,-231/269
-36/269,-231/269
-74/807,-231/269
-24/269,-231/269
-36/269,-691/807
-74/807,-691/807
-36/269,-689/807
-106/807,-689/807
-74/807,-689/807
-106/807,-229/269
-76/807,-229/269
-74/807,-229/269
-24/269,-229/269
-106/807,-685/807
-104/807,-685/807
-26/269,-685/807
-76/807,-685/807
14/807,-685/807
-104/807,-683/807
-34/269,-683/807
-80/807,-683/807
-26/269,-683/807
-220/807,-227/269
-110/807,-227/269
-34/269,-227/269
-100/807,-227/269
-98/807,-227/269
-82/807,-227/269
-80/807,-227/269
-42/269,-679/807
-118/807,-679/807
-116/807,-679/807
-38/269,-679/807
-110/807,-679/807
-36/269,-679/807
-98/807,-679/807
-88/807,-679/807
-86/807,-679/807
-28/269,-679/807
-82/807,-679/807
-42/269,-677/807
-124/807,-677/807
-40/269,-677/807
-118/807,-677/807
-38/269,-677/807
-112/807,-677/807
-110/807,-677/807
-36/269,-677/807
-106/807,-677/807
-104/807,-677/807
-34/269,-677/807
-100/807,-677/807
-98/807,-677/807
-88/807,-677/807
-142/807,-225/269
-46/269,-225/269
-128/807,-225/269
-42/269,-225/269
-124/807,-225/269
-122/807,-225/269
-40/269,-225/269
-88/807,-225/269
-86/807,-225/269
-28/269,-225/269
-82/807,-225/269
-80/807,-225/269
-74/807,-225/269
-24/269,-225/269
-70/807,-225/269
-68/807,-225/269
-142/807,-673/807
-140/807,-673/807
-46/269,-673/807
-44/269,-673/807
-128/807,-673/807
-80/807,-673/807
-26/269,-673/807
-76/807,-673/807
-74/807,-673/807
-24/269,-673/807
-68/807,-673/807
-164/807,-671/807
-142/807,-671/807
-46/269,-671/807
-136/807,-671/807
-134/807,-671/807
-44/269,-671/807
-130/807,-671/807
-128/807,-671/807
-24/269,-671/807
-70/807,-671/807
-68/807,-671/807
-62/807,-671/807
-20/269,-671/807
-188/807,-223/269
-154/807,-223/269
-142/807,-223/269
-140/807,-223/269
-46/269,-223/269
-134/807,-223/269
-68/807,-223/269
-22/269,-223/269
-64/807,-223/269
-62/807,-223/269
-20/269,-223/269
-58/807,-223/269
-52/807,-223/269
-44/807,-223/269
-140/807,-667/807
-46/269,-667/807
-136/807,-667/807
-134/807,-667/807
-20/269,-667/807
-56/807,-667/807
-50/807,-667/807
-142/807,-665/807
-140/807,-665/807
-20/269,-665/807
-58/807,-665/807
-56/807,-665/807
-52/807,-665/807
-50/807,-665/807
-16/269,-665/807
-46/807,-665/807
-164/807,-221/269
-50/269,-221/269
-148/807,-221/269
-146/807,-221/269
-48/269,-221/269
-142/807,-221/269
-56/807,-221/269
-18/269,-221/269
-52/807,-221/269
-46/807,-221/269
-170/807,-661/807
-56/269,-661/807
-50/269,-661/807
-46/807,-661/807
-44/807,-661/807
-178/807,-659/807
-176/807,-659/807
-172/807,-659/807
-170/807,-659/807
-56/269,-659/807
-166/807,-659/807
-164/807,-659/807
-154/807,-659/807
-152/807,-659/807
-50/269,-659/807
-46/807,-659/807
-60/269,-219/269
-178/807,-219/269
-176/807,-219/269
-58/269,-219/269
-172/807,-219/269
-164/807,-219/269
-54/269,-219/269
-152/807,-219/269
-46/807,-219/269
-178/807,-655/807
-176/807,-655/807
-54/269,-655/807
-160/807,-655/807
-154/807,-655/807
-152/807,-655/807
-46/807,-655/807
-14/269,-655/807
-176/807,-653/807
-160/807,-653/807
-52/269,-653/807
-154/807,-653/807
-46/807,-653/807
-44/807,-653/807
-14/269,-653/807
-176/807,-217/269
-160/807,-217/269
-158/807,-217/269
-52/269,-217/269
-14/269,-217/269
-176/807,-649/807
-14/269,-649/807
-38/807,-649/807
-8/269,-649/807
-176/807,-647/807
-58/269,-647/807
-14/269,-647/807
-40/807,-647/807
-38/807,-647/807
-28/807,-647/807
-26/807,-647/807
-8/269,-647/807
-22/807,-647/807
-20/807,-647/807
-178/807,-215/269
-58/269,-215/269
-166/807,-215/269
-164/807,-215/269
-54/269,-215/269
-38/807,-215/269
-12/269,-215/269
-32/807,-215/269
-10/269,-215/269
-28/807,-215/269
-20/807,-215/269
-16/807,-215/269
-14/807,-215/269
-58/269,-643/807
-172/807,-643/807
-170/807,-643/807
-56/269,-643/807
-166/807,-643/807
-54/269,-643/807
-12/269,-643/807
-32/807,-643/807
-20/807,-643/807
-6/269,-643/807
-16/807,-643/807
-8/807,-643/807
-164/807,-641/807
-54/269,-641/807
-12/269,-641/807
-32/807,-641/807
-6/269,-641/807
-16/807,-641/807
-14/807,-641/807
-166/807,-213/269
-164/807,-213/269
-12/269,-213/269
-34/807,-213/269
-32/807,-213/269
-6/269,-213/269
-166/807,-637/807
-6/269,-637/807
-58/269,-635/807
-170/807,-635/807
-56/269,-635/807
-166/807,-635/807
-32/807,-635/807
-10/269,-635/807
-28/807,-635/807
-22/807,-635/807
-20/807,-635/807
-6/269,-635/807
-58/269,-211/269
-172/807,-211/269
-170/807,-211/269
-32/807,-211/269
-28/807,-211/269
-26/807,-211/269
-8/269,-211/269
-22/807,-211/269
-176/807,-631/807
-170/807,-631/807
-32/807,-631/807
-10/269,-631/807
-8/269,-631/807
-20/807,-631/807
-172/807,-629/807
-170/807,-629/807
-10/269,-629/807
-178/807,-209/269
-176/807,-209/269
-58/269,-209/269
-170/807,-209/269
-10/269,-209/269
-28/807,-209/269
-58/269,-625/807
-172/807,-625/807
-170/807,-625/807
-28/807,-625/807
-26/807,-625/807
-172/807,-623/807
-26/807,-623/807
-8/269,-623/807
-176/807,-207/269
-58/269,-207/269
-172/807,-207/269
-26/807,-207/269
-176/807,-619/807
-58/269,-619/807
-26/807,-619/807
-58/269,-617/807
-26/807,-617/807
-8/269,-617/807
-22/807,-617/807
-20/807,-617/807
-58/269,-205/269
-8/269,-205/269
-184/807,-613/807
-182/807,-613/807
-60/269,-613/807
-58/269,-613/807
-8/269,-613/807
-184/807,-611/807
-60/269,-611/807
-178/807,-611/807
-176/807,-611/807
-58/269,-611/807
-8/269,-611/807
-62/269,-203/269
-184/807,-203/269
-8/269,-203/269
-190/807,-607/807
-188/807,-607/807
-62/269,-607/807
-8/269,-607/807
-190/807,-605/807
-188/807,-605/807
-62/269,-605/807
-184/807,-605/807
-8/269,-605/807
-188/807,-201/269
-184/807,-201/269
-182/807,-201/269
-60/269,-201/269
-8/269,-201/269
-16/807,-201/269
-184/807,-601/807
-60/269,-601/807
-178/807,-601/807
-176/807,-601/807
-58/269,-601/807
-8/269,-601/807
-22/807,-601/807
-20/807,-601/807
-6/269,-601/807
-16/807,-601/807
-184/807,-599/807
-58/269,-599/807
-16/807,-599/807
-14/807,-599/807
-58/269,-199/269
-26/807,-199/269
-8/269,-199/269
-22/807,-199/269
-14/807,-199/269
-58/269,-595/807
-26/807,-595/807
-22/807,-595/807
-20/807,-595/807
-6/269,-595/807
-16/807,-595/807
-14/807,-595/807
-176/807,-593/807
-58/269,-593/807
-26/807,-593/807
-20/807,-593/807
-6/269,-593/807
-178/807,-197/269
-176/807,-197/269
-26/807,-197/269
-8/269,-197/269
-176/807,-589/807
-26/807,-589/807
-8/269,-589/807
-176/807,-587/807
-58/269,-587/807
-26/807,-587/807
-58/269,-195/269
-26/807,-195/269
-8/269,-195/269
-178/807,-583/807
-176/807,-583/807
-58/269,-583/807
-26/807,-583/807
-178/807,-581/807
-28/807,-581/807
-26/807,-581/807
-188/807,-193/269
-62/269,-193/269
-60/269,-193/269
-178/807,-193/269
-28/807,-193/269
-178/807,-577/807
-176/807,-577/807
-58/269,-577/807
-28/807,-577/807
-26/807,-577/807
-8/269,-577/807
-62/269,-575/807
-184/807,-575/807
-58/269,-575/807
-172/807,-575/807
-8/269,-575/807
-22/807,-575/807
-176/807,-191/269
-172/807,-191/269
-10/269,-191/269
-28/807,-191/269
-26/807,-191/269
-8/269,-191/269
-22/807,-191/269
-172/807,-571/807
-170/807,-571/807
-32/807,-571/807
-10/269,-571/807
-26/807,-571/807
-20/807,-571/807
-170/807,-569/807
-32/807,-569/807
-170/807,-189/269
-32/807,-189/269
-10/269,-189/269
-28/807,-189/269
-60/269,-565/807
-170/807,-565/807
-32/807,-565/807
-172/807,-563/807
-170/807,-563/807
-56/269,-563/807
-166/807,-563/807
-32/807,-563/807
-166/807,-187/269
-164/807,-187/269
-32/807,-187/269
-10/269,-187/269
-170/807,-559/807
-164/807,-559/807
-54/269,-559/807
-12/269,-559/807
-34/807,-559/807
-32/807,-559/807
-10/269,-559/807
-54/269,-557/807
-38/807,-557/807
-12/269,-557/807
-164/807,-185/269
-54/269,-185/269
-160/807,-185/269
-158/807,-185/269
-38/807,-185/269
-164/807,-553/807
-54/269,-553/807
-158/807,-553/807
-40/807,-553/807
-38/807,-553/807
-32/807,-553/807
292/807,-553/807
-172/807,-551/807
-164/807,-551/807
-158/807,-551/807
-52/269,-551/807
-44/807,-551/807
-14/269,-551/807
-40/807,-551/807
-32/807,-551/807
-52/269,-183/269
-46/807,-183/269
-44/807,-183/269
-40/807,-183/269
-38/807,-183/269
-158/807,-547/807
-52/269,-547/807
-154/807,-547/807
-46/807,-547/807
-160/807,-545/807
-158/807,-545/807
-154/807,-545/807
-152/807,-545/807
-50/807,-545/807
-16/269,-545/807
-46/807,-545/807
-44/807,-545/807
-40/807,-545/807
-52/269,-181/269
-152/807,-181/269
-50/269,-181/269
-18/269,-181/269
-52/807,-181/269
-50/807,-181/269
-50/269,-541/807
-148/807,-541/807
-146/807,-541/807
-56/807,-541/807
-18/269,-541/807
-50/807,-541/807
-428/807,-539/807
-50/269,-539/807
-146/807,-539/807
-48/269,-539/807
-58/807,-539/807
-56/807,-539/807
-82/269,-179/269
-50/269,-179/269
-48/269,-179/269
-142/807,-179/269
-140/807,-179/269
-62/807,-179/269
-20/269,-179/269
-58/807,-179/269
-18/269,-179/269
-482/807,-535/807
-140/807,-535/807
-46/269,-535/807
-136/807,-535/807
-64/807,-535/807
-62/807,-535/807
-58/807,-535/807
-56/807,-535/807
-190/807,-533/807
-136/807,-533/807
-134/807,-533/807
-22/269,-533/807
-64/807,-533/807
2/269,-533/807
-208/807,-177/269
-190/807,-177/269
-184/807,-177/269
-134/807,-177/269
-44/269,-177/269
-130/807,-177/269
-128/807,-177/269
-24/269,-177/269
-70/807,-177/269
-68/807,-177/269
-22/269,-177/269
10/807,-177/269
46/807,-177/269
-100/269,-529/807
-80/269,-529/807
-238/807,-529/807
-208/807,-529/807
-206/807,-529/807
-68/269,-529/807
-128/807,-529/807
-42/269,-529/807
-124/807,-529/807
-122/807,-529/807
-40/269,-529/807
-80/807,-529/807
-26/269,-529/807
-76/807,-529/807
-74/807,-529/807
-24/269,-529/807
-12/269,-529/807
-26/807,-529/807
-14/807,-529/807
2/269,-529/807
12/269,-529/807
16/269,-529/807
34/269,-529/807
-82/269,-527/807
-244/807,-527/807
-80/269,-527/807
-70/269,-527/807
-208/807,-527/807
-64/269,-527/807
-188/807,-527/807
-178/807,-527/807
-176/807,-527/807
-58/269,-527/807
-164/807,-527/807
-52/269,-527/807
-40/269,-527/807
-118/807,-527/807
-116/807,-527/807
-38/269,-527/807
-112/807,-527/807
-110/807,-527/807
-30/269,-527/807
-88/807,-527/807
-86/807,-527/807
-28/269,-527/807
-82/807,-527/807
-80/807,-527/807
-12/269,-527/807
-26/807,-527/807
-4/269,-527/807
-10/807,-527/807
-4/807,-527/807
8/807,-527/807
10/807,-527/807
4/269,-527/807
14/807,-527/807
16/807,-527/807
46/807,-527/807
-250/807,-175/269
-82/269,-175/269
-242/807,-175/269
-80/269,-175/269
-72/269,-175/269
-208/807,-175/269
-202/807,-175/269
-200/807,-175/269
-62/269,-175/269
-184/807,-175/269
-58/269,-175/269
-166/807,-175/269
-164/807,-175/269
-52/269,-175/269
-152/807,-175/269
-50/269,-175/269
-146/807,-175/269
-142/807,-175/269
-46/269,-175/269
-134/807,-175/269
-44/269,-175/269
-128/807,-175/269
-42/269,-175/269
-122/807,-175/269
-110/807,-175/269
-30/269,-175/269
-82/807,-175/269
-74/807,-175/269
-70/807,-175/269
-68/807,-175/269
-64/807,-175/269
-20/269,-175/269
-58/807,-175/269
-18/269,-175/269
-52/807,-175/269
-50/807,-175/269
-16/269,-175/269
-44/807,-175/269
-40/807,-175/269
-12/269,-175/269
-34/807,-175/269
-22/807,-175/269
-20/807,-175/269
-6/269,-175/269
-14/807,-175/269
-10/807,-175/269
-2/269,-175/269
2/269,-175/269
4/269,-175/269
6/269,-175/269
20/807,-175/269
46/807,-175/269
52/807,-175/269
-238/807,-523/807
-232/807,-523/807
-212/807,-523/807
-70/269,-523/807
-208/807,-523/807
-206/807,-523/807
-190/807,-523/807
-188/807,-523/807
-62/269,-523/807
-184/807,-523/807
-176/807,-523/807
-58/269,-523/807
-166/807,-523/807
-164/807,-523/807
-54/269,-523/807
-158/807,-523/807
-52/269,-523/807
-50/269,-523/807
-148/807,-523/807
-146/807,-523/807
-48/269,-523/807
-142/807,-523/807
-140/807,-523/807
-46/269,-523/807
-136/807,-523/807
-134/807,-523/807
-44/269,-523/807
-130/807,-523/807
-128/807,-523/807
-42/269,-523/807
-124/807,-523/807
-122/807,-523/807
-40/269,-523/807
-118/807,-523/807
-116/807,-523/807
-38/269,-523/807
-112/807,-523/807
-110/807,-523/807
-30/269,-523/807
-88/807,-523/807
-86/807,-523/807
-28/269,-523/807
-82/807,-523/807
-80/807,-523/807
-26/269,-523/807
-76/807,-523/807
-74/807,-523/807
-24/269,-523/807
-70/807,-523/807
-68/807,-523/807
-22/269,-523/807
-64/807,-523/807
-62/807,-523/807
-20/269,-523/807
-58/807,-523/807
-56/807,-523/807
-18/269,-523/807
-16/269,-523/807
-46/807,-523/807
-44/807,-523/807
-14/269,-523/807
-38/807,-523/807
-12/269,-523/807
-34/807,-523/807
-32/807,-523/807
-28/807,-523/807
-8/269,-523/807
-14/807,-523/807
-4/269,-523/807
-10/807,-523/807
4/269,-523/807
6/269,-523/807
46/807,-523/807
56/807,-523/807
290/807,-523/807
-242/807,-521/807
-80/269,-521/807
-238/807,-521/807
-230/807,-521/807
-214/807,-521/807
-208/807,-521/807
-206/807,-521/807
-202/807,-521/807
-200/807,-521/807
-64/269,-521/807
-190/807,-521/807
-184/807,-521/807
-60/269,-521/807
-58/269,-521/807
-172/807,-521/807
-56/269,-521/807
-164/807,-521/807
-54/269,-521/807
-160/807,-521/807
-158/807,-521/807
-52/269,-521/807
-154/807,-521/807
-152/807,-521/807
-50/269,-521/807
-14/269,-521/807
-40/807,-521/807
-38/807,-521/807
-34/807,-521/807
-10/269,-521/807
-26/807,-521/807
-8/269,-521/807
-22/807,-521/807
-6/269,-521/807
-14/807,-521/807
-10/807,-521/807
-8/807,-521/807
-2/269,-521/807
4/807,-521/807
10/807,-521/807
4/269,-521/807
46/807,-521/807
50/807,-521/807
290/807,-521/807
292/807,-521/807
-100/269,-173/269
-296/807,-173/269
-244/807,-173/269
-242/807,-173/269
-238/807,-173/269
-230/807,-173/269
-214/807,-173/269
-212/807,-173/269
-70/269,-173/269
-208/807,-173/269
-206/807,-173/269
-68/269,-173/269
-196/807,-173/269
-190/807,-173/269
-188/807,-173/269
-184/807,-173/269
-60/269,-173/269
-178/807,-173/269
-176/807,-173/269
-58/269,-173/269
-172/807,-173/269
-170/807,-173/269
-56/269,-173/269
-166/807,-173/269
-164/807,-173/269
-34/807,-173/269
-32/807,-173/269
-10/269,-173/269
-28/807,-173/269
-26/807,-173/269
-8/269,-173/269
-6/269,-173/269
-14/807,-173/269
-4/269,-173/269
-2/269,-173/269
-2/807,-173/269
2/269,-173/269
8/807,-173/269
10/807,-173/269
4/269,-173/269
14/807,-173/269
6/269,-173/269
34/807,-173/269
12/269,-173/269
40/807,-173/269
14/269,-173/269
44/807,-173/269
46/807,-173/269
112/807,-173/269
290/807,-173/269
292/807,-173/269
-304/807,-517/807
-296/807,-517/807
-98/269,-517/807
-292/807,-517/807
-280/807,-517/807
-278/807,-517/807
-92/269,-517/807
-244/807,-517/807
-242/807,-517/807
-238/807,-517/807
-236/807,-517/807
-78/269,-517/807
-232/807,-517/807
-212/807,-517/807
-68/269,-517/807
-194/807,-517/807
-64/269,-517/807
-188/807,-517/807
-184/807,-517/807
-182/807,-517/807
-60/269,-517/807
-8/269,-517/807
-22/807,-517/807
-20/807,-517/807
-6/269,-517/807
-16/807,-517/807
-4/269,-517/807
-2/269,-517/807
-4/807,-517/807
-2/807,-517/807
8/807,-517/807
14/807,-517/807
16/807,-517/807
8/269,-517/807
44/807,-517/807
46/807,-517/807
16/269,-517/807
290/807,-517/807
-102/269,-515/807
-298/807,-515/807
-296/807,-515/807
-292/807,-515/807
-284/807,-515/807
-280/807,-515/807
-278/807,-515/807
-242/807,-515/807
-232/807,-515/807
-74/269,-515/807
-220/807,-515/807
-218/807,-515/807
-212/807,-515/807
-70/269,-515/807
-68/269,-515/807
-202/807,-515/807
-200/807,-515/807
-66/269,-515/807
-196/807,-515/807
-194/807,-515/807
-64/269,-515/807
-190/807,-515/807
-188/807,-515/807
-16/807,-515/807
-14/807,-515/807
-4/269,-515/807
-2/807,-515/807
0,-515/807
2/807,-515/807
2/269,-515/807
8/807,-515/807
14/807,-515/807
12/269,-515/807
38/807,-515/807
40/807,-515/807
14/269,-515/807
44/807,-515/807
16/269,-515/807
56/807,-515/807
94/807,-515/807
36/269,-515/807
110/807,-515/807
128/807,-515/807
-100/269,-171/269
-298/807,-171/269
-296/807,-171/269
-292/807,-171/269
-96/269,-171/269
-286/807,-171/269
-278/807,-171/269
-272/807,-171/269
-82/269,-171/269
-244/807,-171/269
-242/807,-171/269
-232/807,-171/269
-230/807,-171/269
-76/269,-171/269
-220/807,-171/269
-218/807,-171/269
-72/269,-171/269
-70/269,-171/269
2/807,-171/269
4/807,-171/269
2/269,-171/269
14/807,-171/269
16/807,-171/269
22/807,-171/269
8/269,-171/269
28/807,-171/269
12/269,-171/269
16/269,-171/269
30/269,-171/269
104/807,-171/269
106/807,-171/269
36/269,-171/269
110/807,-171/269
-296/807,-511/807
-292/807,-511/807
-290/807,-511/807
-96/269,-511/807
-286/807,-511/807
-284/807,-511/807
-94/269,-511/807
-280/807,-511/807
-278/807,-511/807
-262/807,-511/807
-250/807,-511/807
-244/807,-511/807
-232/807,-511/807
-226/807,-511/807
-224/807,-511/807
-74/269,-511/807
-220/807,-511/807
-72/269,-511/807
-214/807,-511/807
-212/807,-511/807
-70/269,-511/807
16/807,-511/807
6/269,-511/807
20/807,-511/807
22/807,-511/807
8/269,-511/807
26/807,-511/807
12/269,-511/807
16/269,-511/807
50/807,-511/807
52/807,-511/807
32/269,-511/807
98/807,-511/807
104/807,-511/807
110/807,-511/807
-466/807,-509/807
-100/269,-509/807
-298/807,-509/807
-296/807,-509/807
-278/807,-509/807
-260/807,-509/807
-86/269,-509/807
-82/269,-509/807
-244/807,-509/807
-78/269,-509/807
-232/807,-509/807
-230/807,-509/807
-76/269,-509/807
-226/807,-509/807
26/807,-509/807
28/807,-509/807
10/269,-509/807
34/807,-509/807
12/269,-509/807
16/269,-509/807
18/269,-509/807
88/807,-509/807
32/269,-509/807
34/269,-509/807
104/807,-509/807
110/807,-509/807
112/807,-509/807
-302/807,-169/269
-100/269,-169/269
-278/807,-169/269
-88/269,-169/269
-262/807,-169/269
-86/269,-169/269
-256/807,-169/269
-254/807,-169/269
-82/269,-169/269
-244/807,-169/269
-242/807,-169/269
-80/269,-169/269
-78/269,-169/269
-230/807,-169/269
28/807,-169/269
32/807,-169/269
12/269,-169/269
16/269,-169/269
50/807,-169/269
52/807,-169/269
22/269,-169/269
88/807,-169/269
30/269,-169/269
92/807,-169/269
94/807,-169/269
32/269,-169/269
98/807,-169/269
100/807,-169/269
34/269,-169/269
106/807,-169/269
36/269,-169/269
110/807,-169/269
112/807,-169/269
-104/269,-505/807
-302/807,-505/807
-100/269,-505/807
-278/807,-505/807
-262/807,-505/807
-260/807,-505/807
-86/269,-505/807
-84/269,-505/807
-250/807,-505/807
-248/807,-505/807
-82/269,-505/807
-80/269,-505/807
-78/269,-505/807
-232/807,-505/807
-230/807,-505/807
28/807,-505/807
10/269,-505/807
32/807,-505/807
34/807,-505/807
12/269,-505/807
46/807,-505/807
16/269,-505/807
50/807,-505/807
20/269,-505/807
28/269,-505/807
88/807,-505/807
30/269,-505/807
106/807,-505/807
112/807,-505/807
-100/269,-503/807
-278/807,-503/807
-92/269,-503/807
-260/807,-503/807
-86/269,-503/807
-256/807,-503/807
-254/807,-503/807
-250/807,-503/807
-82/269,-503/807
-244/807,-503/807
-242/807,-503/807
-80/269,-503/807
46/807,-503/807
18/269,-503/807
56/807,-503/807
22/269,-503/807
68/807,-503/807
82/807,-503/807
30/269,-503/807
106/807,-503/807
36/269,-503/807
-478/807,-167/269
-308/807,-167/269
-304/807,-167/269
-302/807,-167/269
-100/269,-167/269
-278/807,-167/269
-274/807,-167/269
-266/807,-167/269
-260/807,-167/269
-254/807,-167/269
-84/269,-167/269
-250/807,-167/269
46/807,-167/269
16/269,-167/269
52/807,-167/269
58/807,-167/269
20/269,-167/269
62/807,-167/269
64/807,-167/269
22/269,-167/269
68/807,-167/269
88/807,-167/269
30/269,-167/269
36/269,-167/269
110/807,-167/269
122/807,-167/269
-128/269,-499/807
-308/807,-499/807
-304/807,-499/807
-278/807,-499/807
-92/269,-499/807
-266/807,-499/807
-88/269,-499/807
-262/807,-499/807
-260/807,-499/807
16/269,-499/807
50/807,-499/807
52/807,-499/807
18/269,-499/807
56/807,-499/807
58/807,-499/807
20/269,-499/807
62/807,-499/807
64/807,-499/807
86/807,-499/807
88/807,-499/807
110/807,-499/807
112/807,-499/807
-146/269,-497/807
-434/807,-497/807
-388/807,-497/807
-310/807,-497/807
-304/807,-497/807
-302/807,-497/807
-278/807,-497/807
-90/269,-497/807
-266/807,-497/807
58/807,-497/807
62/807,-497/807
64/807,-497/807
22/269,-497/807
68/807,-497/807
74/807,-497/807
82/807,-497/807
86/807,-497/807
112/807,-497/807
38/269,-497/807
122/807,-497/807
292/807,-497/807
-442/807,-165/269
-146/269,-165/269
-436/807,-165/269
-434/807,-165/269
-144/269,-165/269
-430/807,-165/269
-428/807,-165/269
-142/269,-165/269
-302/807,-165/269
-278/807,-165/269
-92/269,-165/269
-272/807,-165/269
